org,file_,URL,File,Lines_of_code,Require,Ensure,Include,Attribute,Hard_coded_string,Comment,Command,File_mode,SSH_KEY,defect_status
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/apps/plugins.pp,0,2,76,3,4,8,24,13,16,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/apps/static.pp,0,2,74,1,3,4,25,20,16,0,2,2,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/ssh/manifests/sshd.pp,0,1,52,1,3,6,14,10,10,0,1,1,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/roles/perestroika/builder.pp,0,0,50,2,0,2,4,2,10,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/landing_page/manifests/init.pp,3,3,294,6,9,18,123,66,34,2,3,3,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/profiles/manifests/common/sudo.pp,0,0,19,0,0,0,0,0,9,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/jenkins/master.pp,0,0,77,2,3,5,19,14,17,1,0,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-ssh/manifests/client.pp,0,0,3,0,0,1,0,0,0,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/tpi/lab.pp,0,4,92,4,3,7,33,23,7,0,4,4,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/system/manifests/init.pp,0,4,115,5,6,11,40,27,16,1,4,4,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-foreman_proxy/manifests/plugin/chef/params.pp,1,0,12,0,0,0,0,2,1,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/roles/manifests/ftp/server.pp,0,0,40,0,0,8,0,0,19,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/pmlc_nova/manifests/compute/service.pp,0,0,40,1,1,2,4,1,12,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/django/manifests/application.pp,0,4,132,2,6,11,40,11,28,0,4,4,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/racks/manifests/importer.pp,2,2,84,2,5,7,15,12,29,1,2,2,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/apps/partnerappliance.pp,0,2,81,3,4,7,23,12,16,0,2,2,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/apps/monitoring/mysql/server.pp,0,1,22,1,1,2,7,7,8,0,1,1,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/profiles/manifests/ssh/server.pp,0,0,28,0,0,0,2,1,13,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-external-ceph/deployment_scripts/radosgw-keystone.pp,0,0,1,0,0,1,0,0,0,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/roles/manifests/deploy.pp,0,0,44,0,0,10,0,0,18,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/apps/firewall.pp,0,0,64,2,1,6,17,14,14,0,0,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/roles/ns.pp,0,5,114,7,5,12,37,36,14,2,4,4,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/apps/mirror_npm.pp,1,3,141,5,11,16,56,38,15,1,2,2,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-standalone-ceph/deployment_scripts/ssl_keys_saving.pp,0,0,2,0,0,1,0,0,0,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-openstack/manifests/swift/storage-node.pp,0,0,58,1,1,2,15,8,0,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/apps/mirror_rubygems.pp,1,4,106,4,9,13,44,35,14,1,2,2,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-ssh/manifests/params.pp,0,0,23,0,0,0,0,12,0,0,0,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-ssh/manifests/server/configline.pp,0,0,32,1,0,2,9,2,0,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/pxetool/manifests/master.pp,1,6,229,6,11,17,95,59,26,2,6,6,1
